# ----------------------------------------
# Report CSV Export
# Account: Hartmann&Forbes
# Property: HartmannForbes GA4
# ----------------------------------------
# 
# Session medium exactly matches organic
# Start date: 20230701
# End date: 20231219
Session medium,Landing page + query string,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Conversions,Total revenue
organic,/,4944,7935,6652,152.17290485192186,1.3454692556634305,15.844360428481412,0.8383112791430372,125725,0,0
organic,(not set),1261,2539,56,14.935407640803465,0.04440919904837431,2.1185506104765657,0.02205592753052383,5379,0,0
organic,/windowcoverings/styles/old-style,503,582,491,153.44158075601374,0.9761431411530815,14.714776632302405,0.8436426116838488,8564,0,0
organic,/showrooms,284,367,253,95.6975476839237,0.8908450704225352,8.741144414168938,0.6893732970027248,3208,0,0
organic,/natural-windowcoverings,289,306,254,164.62745098039215,0.8788927335640139,12.967320261437909,0.8300653594771242,3968,0,0
organic,/natural-fibers,255,297,195,56.90909090909091,0.7647058823529411,5.074074074074074,0.6565656565656566,1507,0,0
organic,/natural-wallcoverings,236,244,217,120.72950819672131,0.9194915254237288,13.098360655737705,0.889344262295082,3196,0,0
organic,/user/login?current=node/1116,132,169,87,113.50295857988165,0.6590909090909091,14.940828402366863,0.514792899408284,2525,0,0
organic,/403.html%3Fpage=/showroom-hub&from=,22,168,165,162.5297619047619,7.5,22.226190476190474,0.9821428571428571,3734,0,0
organic,/showroom-hub,21,166,154,156.46987951807228,7.333333333333333,14.951807228915662,0.927710843373494,2482,0,0
organic,/resources/samples/windowcoverings,78,128,87,121.15625,1.1153846153846154,12.0859375,0.6796875,1547,0,0
organic,/michael-s-smith,98,112,82,96.3125,0.8367346938775511,10.142857142857142,0.7321428571428571,1136,0,0
organic,/room-photography,54,112,55,75.22321428571429,1.0185185185185186,8.205357142857142,0.49107142857142855,919,0,0
organic,/woven-size-grassweave,75,110,73,109.46363636363637,0.9733333333333334,12.99090909090909,0.6636363636363637,1429,0,0
organic,/shopping-bag,29,92,47,158.33695652173913,1.6206896551724137,12.043478260869565,0.5108695652173914,1108,0,0
organic,/contact-us,67,91,46,86.42857142857143,0.6865671641791045,6.978021978021978,0.5054945054945055,635,0,0
organic,/grasscloth,71,91,65,275.1758241758242,0.9154929577464789,29.52747252747253,0.7142857142857143,2687,0,0
organic,/automation,80,89,64,129.7865168539326,0.8,13.393258426966293,0.7191011235955056,1192,0,0
organic,/blog/primavera-interior-furnishings,78,86,61,28.11627906976744,0.782051282051282,6.174418604651163,0.7093023255813954,531,0,0
organic,/windowcoverings/styles/performance-rollershades,68,85,69,115.4,1.0147058823529411,14.31764705882353,0.8117647058823529,1217,0,0
organic,/max-humphrey,77,84,68,42.857142857142854,0.8831168831168831,7.642857142857143,0.8095238095238095,642,0,0
organic,/user/register,69,79,38,125.37974683544304,0.5507246376811594,5.89873417721519,0.4810126582278481,466,0,0
organic,/windowcoverings/styles/flat-old-style,49,77,49,104.15584415584415,1,9.805194805194805,0.6363636363636364,755,0,0
organic,/my-account,52,73,50,80,0.9615384615384616,10.835616438356164,0.684931506849315,791,0,0
organic,/blog/announcing-new-washington-dc-showroom-3,66,70,47,44.94285714285714,0.7121212121212122,6.042857142857143,0.6714285714285714,423,0,0
